#        E [H]          <xx>          <yy>          <zz>           <f>
  2.750000E-02  3.397135E-02  3.397221E-02  3.397291E-02  3.397216E-02
  2.800000E-02  3.404398E-02  3.404484E-02  3.404555E-02  3.404479E-02
  2.850000E-02  3.411686E-02  3.411772E-02  3.411843E-02  3.411767E-02
  2.900000E-02  3.418999E-02  3.419085E-02  3.419156E-02  3.419080E-02
  2.950000E-02  3.426338E-02  3.426424E-02  3.426495E-02  3.426419E-02
  3.000000E-02  3.433701E-02  3.433788E-02  3.433859E-02  3.433783E-02
  3.050000E-02  3.441091E-02  3.441177E-02  3.441249E-02  3.441172E-02
  3.100000E-02  3.448506E-02  3.448593E-02  3.448664E-02  3.448587E-02
  3.150000E-02  3.455947E-02  3.456034E-02  3.456105E-02  3.456028E-02
  3.200000E-02  3.463414E-02  3.463501E-02  3.463572E-02  3.463495E-02
  3.250000E-02  3.470906E-02  3.470994E-02  3.471065E-02  3.470988E-02
  3.300000E-02  3.478425E-02  3.478513E-02  3.478585E-02  3.478508E-02
  3.350000E-02  3.485971E-02  3.486058E-02  3.486130E-02  3.486053E-02
  3.400000E-02  3.493543E-02  3.493630E-02  3.493702E-02  3.493625E-02
  3.450000E-02  3.501141E-02  3.501229E-02  3.501301E-02  3.501224E-02
  3.500000E-02  3.508766E-02  3.508854E-02  3.508926E-02  3.508849E-02
  3.550000E-02  3.516418E-02  3.516506E-02  3.516579E-02  3.516501E-02
  3.600000E-02  3.524097E-02  3.524185E-02  3.524258E-02  3.524180E-02
  3.650000E-02  3.531803E-02  3.531892E-02  3.531964E-02  3.531886E-02
  3.700000E-02  3.539536E-02  3.539625E-02  3.539698E-02  3.539620E-02
  3.750000E-02  3.547297E-02  3.547386E-02  3.547459E-02  3.547381E-02
  3.800000E-02  3.555085E-02  3.555175E-02  3.555247E-02  3.555169E-02
  3.850000E-02  3.562901E-02  3.562991E-02  3.563064E-02  3.562985E-02
  3.900000E-02  3.570745E-02  3.570835E-02  3.570908E-02  3.570829E-02
  3.950000E-02  3.578617E-02  3.578707E-02  3.578780E-02  3.578701E-02
  4.000000E-02  3.586516E-02  3.586607E-02  3.586680E-02  3.586601E-02
  4.050000E-02  3.594445E-02  3.594535E-02  3.594608E-02  3.594529E-02
  4.100000E-02  3.602401E-02  3.602491E-02  3.602565E-02  3.602486E-02
  4.150000E-02  3.610386E-02  3.610477E-02  3.610550E-02  3.610471E-02
  4.200000E-02  3.618400E-02  3.618491E-02  3.618564E-02  3.618485E-02
  4.250000E-02  3.626442E-02  3.626533E-02  3.626607E-02  3.626528E-02
  4.300000E-02  3.634514E-02  3.634605E-02  3.634679E-02  3.634599E-02
  4.350000E-02  3.642614E-02  3.642706E-02  3.642780E-02  3.642700E-02
  4.400000E-02  3.650744E-02  3.650836E-02  3.650910E-02  3.650830E-02
  4.450000E-02  3.658904E-02  3.658996E-02  3.659070E-02  3.658990E-02
  4.500000E-02  3.667093E-02  3.667185E-02  3.667259E-02  3.667179E-02
  4.550000E-02  3.675311E-02  3.675404E-02  3.675478E-02  3.675398E-02
  4.600000E-02  3.683560E-02  3.683652E-02  3.683727E-02  3.683646E-02
  4.650000E-02  3.691838E-02  3.691931E-02  3.692006E-02  3.691925E-02
  4.700000E-02  3.700147E-02  3.700240E-02  3.700315E-02  3.700234E-02
  4.750000E-02  3.708486E-02  3.708580E-02  3.708655E-02  3.708574E-02
  4.800000E-02  3.716856E-02  3.716950E-02  3.717025E-02  3.716944E-02
  4.850000E-02  3.725257E-02  3.725350E-02  3.725426E-02  3.725344E-02
  4.900000E-02  3.733688E-02  3.733782E-02  3.733857E-02  3.733776E-02
  4.950000E-02  3.742150E-02  3.742244E-02  3.742320E-02  3.742238E-02
  5.000000E-02  3.750644E-02  3.750738E-02  3.750814E-02  3.750732E-02
  5.050000E-02  3.759168E-02  3.759263E-02  3.759339E-02  3.759257E-02
  5.100000E-02  3.767725E-02  3.767819E-02  3.767896E-02  3.767813E-02
  5.150000E-02  3.776313E-02  3.776408E-02  3.776484E-02  3.776401E-02
  5.200000E-02  3.784933E-02  3.785028E-02  3.785104E-02  3.785021E-02
  5.250000E-02  3.793584E-02  3.793680E-02  3.793756E-02  3.793673E-02
  5.300000E-02  3.802268E-02  3.802364E-02  3.802441E-02  3.802358E-02
  5.350000E-02  3.810985E-02  3.811081E-02  3.811157E-02  3.811074E-02
  5.400000E-02  3.819734E-02  3.819830E-02  3.819907E-02  3.819823E-02
  5.450000E-02  3.828515E-02  3.828612E-02  3.828689E-02  3.828605E-02
  5.500000E-02  3.837330E-02  3.837426E-02  3.837504E-02  3.837420E-02
  5.550000E-02  3.846177E-02  3.846274E-02  3.846351E-02  3.846268E-02
  5.600000E-02  3.855058E-02  3.855155E-02  3.855233E-02  3.855149E-02
  5.650000E-02  3.863972E-02  3.864070E-02  3.864147E-02  3.864063E-02
  5.700000E-02  3.872920E-02  3.873018E-02  3.873095E-02  3.873011E-02
  5.750000E-02  3.881902E-02  3.881999E-02  3.882077E-02  3.881993E-02
  5.800000E-02  3.890917E-02  3.891015E-02  3.891093E-02  3.891009E-02
  5.850000E-02  3.899967E-02  3.900065E-02  3.900143E-02  3.900059E-02
  5.900000E-02  3.909051E-02  3.909149E-02  3.909228E-02  3.909143E-02
  5.950000E-02  3.918170E-02  3.918268E-02  3.918347E-02  3.918262E-02
  6.000000E-02  3.927323E-02  3.927422E-02  3.927500E-02  3.927415E-02
  6.050000E-02  3.936511E-02  3.936610E-02  3.936689E-02  3.936603E-02
  6.100000E-02  3.945734E-02  3.945834E-02  3.945913E-02  3.945827E-02
  6.150000E-02  3.954993E-02  3.955093E-02  3.955172E-02  3.955086E-02
  6.200000E-02  3.964287E-02  3.964387E-02  3.964466E-02  3.964380E-02
  6.250000E-02  3.973617E-02  3.973717E-02  3.973796E-02  3.973710E-02
  6.300000E-02  3.982982E-02  3.983083E-02  3.983162E-02  3.983076E-02
  6.350000E-02  3.992384E-02  3.992485E-02  3.992564E-02  3.992478E-02
  6.400000E-02  4.001822E-02  4.001923E-02  4.002003E-02  4.001916E-02
  6.450000E-02  4.011296E-02  4.011398E-02  4.011477E-02  4.011390E-02
  6.500000E-02  4.020808E-02  4.020909E-02  4.020989E-02  4.020902E-02
  6.550000E-02  4.030356E-02  4.030457E-02  4.030537E-02  4.030450E-02
  6.600000E-02  4.039941E-02  4.040043E-02  4.040123E-02  4.040035E-02
  6.650000E-02  4.049563E-02  4.049665E-02  4.049746E-02  4.049658E-02
  6.700000E-02  4.059223E-02  4.059325E-02  4.059406E-02  4.059318E-02
  6.750000E-02  4.068921E-02  4.069023E-02  4.069104E-02  4.069016E-02
  6.800000E-02  4.078656E-02  4.078759E-02  4.078840E-02  4.078752E-02
  6.850000E-02  4.088430E-02  4.088533E-02  4.088614E-02  4.088526E-02
  6.900000E-02  4.098242E-02  4.098345E-02  4.098427E-02  4.098338E-02
  6.950000E-02  4.108093E-02  4.108196E-02  4.108278E-02  4.108189E-02
  7.000000E-02  4.117982E-02  4.118086E-02  4.118168E-02  4.118079E-02
  7.050000E-02  4.127911E-02  4.128015E-02  4.128097E-02  4.128007E-02
  7.100000E-02  4.137879E-02  4.137983E-02  4.138065E-02  4.137975E-02
  7.150000E-02  4.147886E-02  4.147991E-02  4.148073E-02  4.147983E-02
  7.200000E-02  4.157933E-02  4.158038E-02  4.158120E-02  4.158030E-02
  7.250000E-02  4.168020E-02  4.168125E-02  4.168207E-02  4.168117E-02
  7.300000E-02  4.178147E-02  4.178252E-02  4.178335E-02  4.178244E-02
  7.350000E-02  4.188314E-02  4.188420E-02  4.188502E-02  4.188412E-02
  7.400000E-02  4.198522E-02  4.198628E-02  4.198711E-02  4.198620E-02
  7.450000E-02  4.208771E-02  4.208877E-02  4.208960E-02  4.208870E-02
  7.500000E-02  4.219061E-02  4.219168E-02  4.219251E-02  4.219160E-02
  7.550000E-02  4.229392E-02  4.229499E-02  4.229582E-02  4.229491E-02
  7.600000E-02  4.239765E-02  4.239872E-02  4.239956E-02  4.239864E-02
  7.650000E-02  4.250180E-02  4.250287E-02  4.250371E-02  4.250279E-02
  7.700000E-02  4.260637E-02  4.260744E-02  4.260828E-02  4.260736E-02
  7.750000E-02  4.271136E-02  4.271244E-02  4.271328E-02  4.271236E-02
  7.800000E-02  4.281677E-02  4.281786E-02  4.281870E-02  4.281778E-02
  7.850000E-02  4.292262E-02  4.292370E-02  4.292455E-02  4.292362E-02
  7.900000E-02  4.302889E-02  4.302998E-02  4.303083E-02  4.302990E-02
  7.950000E-02  4.313560E-02  4.313669E-02  4.313754E-02  4.313661E-02
  8.000000E-02  4.324274E-02  4.324384E-02  4.324469E-02  4.324376E-02
  8.050000E-02  4.335033E-02  4.335143E-02  4.335227E-02  4.335134E-02
  8.100000E-02  4.345835E-02  4.345945E-02  4.346030E-02  4.345937E-02
  8.150000E-02  4.356681E-02  4.356792E-02  4.356877E-02  4.356784E-02
  8.200000E-02  4.367573E-02  4.367684E-02  4.367769E-02  4.367675E-02
  8.250000E-02  4.378509E-02  4.378620E-02  4.378706E-02  4.378612E-02
  8.300000E-02  4.389490E-02  4.389602E-02  4.389687E-02  4.389593E-02
  8.350000E-02  4.400517E-02  4.400629E-02  4.400715E-02  4.400620E-02
  8.400000E-02  4.411589E-02  4.411701E-02  4.411787E-02  4.411693E-02
  8.450000E-02  4.422708E-02  4.422820E-02  4.422906E-02  4.422811E-02
  8.500000E-02  4.433872E-02  4.433985E-02  4.434071E-02  4.433976E-02
  8.550000E-02  4.445083E-02  4.445196E-02  4.445283E-02  4.445188E-02
  8.600000E-02  4.456341E-02  4.456455E-02  4.456541E-02  4.456446E-02
  8.650000E-02  4.467646E-02  4.467760E-02  4.467847E-02  4.467751E-02
  8.700000E-02  4.478999E-02  4.479113E-02  4.479200E-02  4.479104E-02
  8.750000E-02  4.490399E-02  4.490513E-02  4.490600E-02  4.490504E-02
  8.800000E-02  4.501847E-02  4.501961E-02  4.502049E-02  4.501952E-02
  8.850000E-02  4.513343E-02  4.513458E-02  4.513546E-02  4.513449E-02
  8.900000E-02  4.524888E-02  4.525003E-02  4.525091E-02  4.524994E-02
  8.950000E-02  4.536481E-02  4.536597E-02  4.536685E-02  4.536588E-02
  9.000000E-02  4.548124E-02  4.548240E-02  4.548329E-02  4.548231E-02
  9.050000E-02  4.559817E-02  4.559933E-02  4.560022E-02  4.559924E-02
  9.100000E-02  4.571559E-02  4.571675E-02  4.571764E-02  4.571666E-02
  9.150000E-02  4.583351E-02  4.583468E-02  4.583557E-02  4.583458E-02
  9.200000E-02  4.595193E-02  4.595311E-02  4.595400E-02  4.595301E-02
  9.250000E-02  4.607086E-02  4.607204E-02  4.607293E-02  4.607195E-02
  9.300000E-02  4.619030E-02  4.619149E-02  4.619238E-02  4.619139E-02
  9.350000E-02  4.631026E-02  4.631145E-02  4.631234E-02  4.631135E-02
  9.400000E-02  4.643073E-02  4.643192E-02  4.643282E-02  4.643182E-02
  9.450000E-02  4.655172E-02  4.655292E-02  4.655382E-02  4.655282E-02
  9.500000E-02  4.667324E-02  4.667443E-02  4.667534E-02  4.667433E-02
  9.550000E-02  4.679528E-02  4.679648E-02  4.679738E-02  4.679638E-02
  9.600000E-02  4.691785E-02  4.691905E-02  4.691996E-02  4.691895E-02
  9.650000E-02  4.704095E-02  4.704216E-02  4.704307E-02  4.704206E-02
  9.700000E-02  4.716459E-02  4.716580E-02  4.716671E-02  4.716570E-02
  9.750000E-02  4.728877E-02  4.728998E-02  4.729090E-02  4.728988E-02
  9.800000E-02  4.741349E-02  4.741471E-02  4.741562E-02  4.741461E-02
  9.850000E-02  4.753876E-02  4.753998E-02  4.754090E-02  4.753988E-02
  9.900000E-02  4.766458E-02  4.766581E-02  4.766672E-02  4.766570E-02
  9.950000E-02  4.779095E-02  4.779218E-02  4.779310E-02  4.779208E-02
  1.000000E-01  4.791788E-02  4.791912E-02  4.792004E-02  4.791901E-02
  1.005000E-01  4.804537E-02  4.804661E-02  4.804754E-02  4.804651E-02
  1.010000E-01  4.817343E-02  4.817467E-02  4.817560E-02  4.817457E-02
  1.015000E-01  4.830205E-02  4.830330E-02  4.830423E-02  4.830319E-02
  1.020000E-01  4.843125E-02  4.843250E-02  4.843343E-02  4.843239E-02
  1.025000E-01  4.856102E-02  4.856228E-02  4.856321E-02  4.856217E-02
  1.030000E-01  4.869137E-02  4.869263E-02  4.869356E-02  4.869252E-02
  1.035000E-01  4.882231E-02  4.882357E-02  4.882450E-02  4.882346E-02
  1.040000E-01  4.895383E-02  4.895509E-02  4.895603E-02  4.895498E-02
  1.045000E-01  4.908594E-02  4.908721E-02  4.908815E-02  4.908710E-02
  1.050000E-01  4.921864E-02  4.921992E-02  4.922086E-02  4.921981E-02
  1.055000E-01  4.935195E-02  4.935323E-02  4.935417E-02  4.935312E-02
  1.060000E-01  4.948586E-02  4.948714E-02  4.948809E-02  4.948703E-02
  1.065000E-01  4.962037E-02  4.962166E-02  4.962261E-02  4.962154E-02
  1.070000E-01  4.975549E-02  4.975679E-02  4.975774E-02  4.975667E-02
  1.075000E-01  4.989123E-02  4.989253E-02  4.989348E-02  4.989242E-02
  1.080000E-01  5.002759E-02  5.002889E-02  5.002985E-02  5.002878E-02
  1.085000E-01  5.016457E-02  5.016588E-02  5.016684E-02  5.016576E-02
  1.090000E-01  5.030218E-02  5.030349E-02  5.030445E-02  5.030337E-02
  1.095000E-01  5.044042E-02  5.044173E-02  5.044270E-02  5.044162E-02
  1.100000E-01  5.057929E-02  5.058061E-02  5.058158E-02  5.058049E-02
  1.105000E-01  5.071881E-02  5.072013E-02  5.072110E-02  5.072001E-02
  1.110000E-01  5.085897E-02  5.086029E-02  5.086126E-02  5.086017E-02
  1.115000E-01  5.099977E-02  5.100111E-02  5.100208E-02  5.100099E-02
  1.120000E-01  5.114123E-02  5.114257E-02  5.114355E-02  5.114245E-02
  1.125000E-01  5.128335E-02  5.128469E-02  5.128567E-02  5.128457E-02
  1.130000E-01  5.142613E-02  5.142748E-02  5.142846E-02  5.142735E-02
  1.135000E-01  5.156958E-02  5.157093E-02  5.157191E-02  5.157080E-02
  1.140000E-01  5.171369E-02  5.171505E-02  5.171603E-02  5.171492E-02
  1.145000E-01  5.185848E-02  5.185984E-02  5.186083E-02  5.185972E-02
  1.150000E-01  5.200396E-02  5.200532E-02  5.200631E-02  5.200520E-02
  1.155000E-01  5.215011E-02  5.215148E-02  5.215248E-02  5.215136E-02
  1.160000E-01  5.229696E-02  5.229834E-02  5.229933E-02  5.229821E-02
  1.165000E-01  5.244450E-02  5.244588E-02  5.244688E-02  5.244575E-02
  1.170000E-01  5.259274E-02  5.259413E-02  5.259513E-02  5.259400E-02
  1.175000E-01  5.274169E-02  5.274308E-02  5.274408E-02  5.274295E-02
  1.180000E-01  5.289134E-02  5.289274E-02  5.289374E-02  5.289261E-02
  1.185000E-01  5.304171E-02  5.304311E-02  5.304412E-02  5.304298E-02
  1.190000E-01  5.319280E-02  5.319420E-02  5.319521E-02  5.319407E-02
  1.195000E-01  5.334461E-02  5.334602E-02  5.334703E-02  5.334589E-02
  1.200000E-01  5.349715E-02  5.349856E-02  5.349958E-02  5.349843E-02
  1.205000E-01  5.365042E-02  5.365184E-02  5.365286E-02  5.365171E-02
  1.210000E-01  5.380444E-02  5.380586E-02  5.380689E-02  5.380573E-02
  1.215000E-01  5.395920E-02  5.396063E-02  5.396165E-02  5.396049E-02
  1.220000E-01  5.411471E-02  5.411615E-02  5.411717E-02  5.411601E-02
  1.225000E-01  5.427097E-02  5.427242E-02  5.427344E-02  5.427228E-02
  1.230000E-01  5.442800E-02  5.442945E-02  5.443048E-02  5.442931E-02
  1.235000E-01  5.458579E-02  5.458725E-02  5.458828E-02  5.458711E-02
  1.240000E-01  5.474436E-02  5.474582E-02  5.474685E-02  5.474568E-02
  1.245000E-01  5.490370E-02  5.490517E-02  5.490620E-02  5.490502E-02
  1.250000E-01  5.506383E-02  5.506530E-02  5.506634E-02  5.506516E-02
  1.255000E-01  5.522474E-02  5.522622E-02  5.522726E-02  5.522607E-02
  1.260000E-01  5.538645E-02  5.538793E-02  5.538898E-02  5.538779E-02
  1.265000E-01  5.554896E-02  5.555045E-02  5.555150E-02  5.555030E-02
  1.270000E-01  5.571228E-02  5.571377E-02  5.571482E-02  5.571362E-02
  1.275000E-01  5.587641E-02  5.587791E-02  5.587896E-02  5.587776E-02
  1.280000E-01  5.604135E-02  5.604286E-02  5.604392E-02  5.604271E-02
  1.285000E-01  5.620713E-02  5.620863E-02  5.620970E-02  5.620849E-02
  1.290000E-01  5.637373E-02  5.637524E-02  5.637631E-02  5.637509E-02
  1.295000E-01  5.654117E-02  5.654269E-02  5.654375E-02  5.654254E-02
  1.300000E-01  5.670945E-02  5.671097E-02  5.671204E-02  5.671082E-02
  1.305000E-01  5.687858E-02  5.688011E-02  5.688118E-02  5.687996E-02
  1.310000E-01  5.704856E-02  5.705010E-02  5.705118E-02  5.704995E-02
  1.315000E-01  5.721941E-02  5.722095E-02  5.722203E-02  5.722080E-02
  1.320000E-01  5.739112E-02  5.739267E-02  5.739376E-02  5.739252E-02
  1.325000E-01  5.756371E-02  5.756527E-02  5.756636E-02  5.756511E-02
  1.330000E-01  5.773718E-02  5.773875E-02  5.773984E-02  5.773859E-02
  1.335000E-01  5.791154E-02  5.791311E-02  5.791420E-02  5.791295E-02
  1.340000E-01  5.808680E-02  5.808837E-02  5.808947E-02  5.808821E-02
  1.345000E-01  5.826295E-02  5.826453E-02  5.826563E-02  5.826437E-02
  1.350000E-01  5.844001E-02  5.844160E-02  5.844271E-02  5.844144E-02
  1.355000E-01  5.861799E-02  5.861959E-02  5.862070E-02  5.861943E-02
  1.360000E-01  5.879690E-02  5.879850E-02  5.879961E-02  5.879833E-02
  1.365000E-01  5.897673E-02  5.897834E-02  5.897945E-02  5.897817E-02
  1.370000E-01  5.915750E-02  5.915911E-02  5.916023E-02  5.915894E-02
  1.375000E-01  5.933921E-02  5.934083E-02  5.934195E-02  5.934066E-02
  1.380000E-01  5.952187E-02  5.952350E-02  5.952462E-02  5.952333E-02
  1.385000E-01  5.970549E-02  5.970713E-02  5.970825E-02  5.970696E-02
  1.390000E-01  5.989008E-02  5.989172E-02  5.989285E-02  5.989155E-02
  1.395000E-01  6.007564E-02  6.007729E-02  6.007842E-02  6.007712E-02
  1.400000E-01  6.026218E-02  6.026384E-02  6.026498E-02  6.026367E-02
  1.405000E-01  6.044972E-02  6.045138E-02  6.045252E-02  6.045121E-02
  1.410000E-01  6.063825E-02  6.063992E-02  6.064106E-02  6.063974E-02
  1.415000E-01  6.082778E-02  6.082946E-02  6.083060E-02  6.082928E-02
  1.420000E-01  6.101833E-02  6.102001E-02  6.102116E-02  6.101983E-02
  1.425000E-01  6.120989E-02  6.121159E-02  6.121274E-02  6.121141E-02
  1.430000E-01  6.140249E-02  6.140419E-02  6.140535E-02  6.140401E-02
  1.435000E-01  6.159612E-02  6.159783E-02  6.159899E-02  6.159765E-02
  1.440000E-01  6.179080E-02  6.179252E-02  6.179368E-02  6.179233E-02
  1.445000E-01  6.198653E-02  6.198826E-02  6.198942E-02  6.198807E-02
  1.450000E-01  6.218333E-02  6.218506E-02  6.218623E-02  6.218487E-02
  1.455000E-01  6.238119E-02  6.238293E-02  6.238411E-02  6.238274E-02
  1.460000E-01  6.258014E-02  6.258189E-02  6.258306E-02  6.258170E-02
  1.465000E-01  6.278017E-02  6.278193E-02  6.278311E-02  6.278174E-02
  1.470000E-01  6.298130E-02  6.298307E-02  6.298425E-02  6.298287E-02
  1.475000E-01  6.318354E-02  6.318531E-02  6.318650E-02  6.318512E-02
  1.480000E-01  6.338689E-02  6.338867E-02  6.338987E-02  6.338848E-02
  1.485000E-01  6.359137E-02  6.359316E-02  6.359436E-02  6.359296E-02
  1.490000E-01  6.379698E-02  6.379878E-02  6.379998E-02  6.379858E-02
  1.495000E-01  6.400374E-02  6.400554E-02  6.400675E-02  6.400534E-02
  1.500000E-01  6.421164E-02  6.421346E-02  6.421466E-02  6.421325E-02
  1.505000E-01  6.442071E-02  6.442253E-02  6.442375E-02  6.442233E-02
  1.510000E-01  6.463095E-02  6.463278E-02  6.463400E-02  6.463258E-02
  1.515000E-01  6.484238E-02  6.484421E-02  6.484544E-02  6.484401E-02
  1.520000E-01  6.505499E-02  6.505684E-02  6.505806E-02  6.505663E-02
  1.525000E-01  6.526881E-02  6.527066E-02  6.527189E-02  6.527045E-02
  1.530000E-01  6.548383E-02  6.548570E-02  6.548693E-02  6.548549E-02
  1.535000E-01  6.570009E-02  6.570196E-02  6.570320E-02  6.570175E-02
  1.540000E-01  6.591757E-02  6.591945E-02  6.592069E-02  6.591924E-02
  1.545000E-01  6.613629E-02  6.613819E-02  6.613943E-02  6.613797E-02
  1.550000E-01  6.635627E-02  6.635818E-02  6.635943E-02  6.635796E-02
  1.555000E-01  6.657752E-02  6.657943E-02  6.658069E-02  6.657921E-02
  1.560000E-01  6.680004E-02  6.680196E-02  6.680322E-02  6.680174E-02
  1.565000E-01  6.702385E-02  6.702578E-02  6.702704E-02  6.702555E-02
  1.570000E-01  6.724895E-02  6.725089E-02  6.725216E-02  6.725067E-02
  1.575000E-01  6.747536E-02  6.747731E-02  6.747859E-02  6.747709E-02
  1.580000E-01  6.770310E-02  6.770505E-02  6.770633E-02  6.770483E-02
  1.585000E-01  6.793216E-02  6.793413E-02  6.793541E-02  6.793390E-02
  1.590000E-01  6.816257E-02  6.816455E-02  6.816583E-02  6.816432E-02
  1.595000E-01  6.839433E-02  6.839632E-02  6.839761E-02  6.839609E-02
  1.600000E-01  6.862746E-02  6.862946E-02  6.863076E-02  6.862923E-02
  1.605000E-01  6.886197E-02  6.886398E-02  6.886528E-02  6.886375E-02
  1.610000E-01  6.909787E-02  6.909989E-02  6.910120E-02  6.909966E-02
  1.615000E-01  6.933518E-02  6.933721E-02  6.933852E-02  6.933697E-02
  1.620000E-01  6.957390E-02  6.957594E-02  6.957726E-02  6.957570E-02
  1.625000E-01  6.981405E-02  6.981610E-02  6.981742E-02  6.981586E-02
  1.630000E-01  7.005565E-02  7.005771E-02  7.005903E-02  7.005746E-02
  1.635000E-01  7.029869E-02  7.030077E-02  7.030210E-02  7.030052E-02
  1.640000E-01  7.054321E-02  7.054529E-02  7.054663E-02  7.054505E-02
  1.645000E-01  7.078921E-02  7.079130E-02  7.079264E-02  7.079105E-02
  1.650000E-01  7.103670E-02  7.103881E-02  7.104015E-02  7.103855E-02
  1.655000E-01  7.128570E-02  7.128782E-02  7.128917E-02  7.128757E-02
  1.660000E-01  7.153623E-02  7.153836E-02  7.153971E-02  7.153810E-02
  1.665000E-01  7.178829E-02  7.179043E-02  7.179179E-02  7.179017E-02
  1.670000E-01  7.204190E-02  7.204405E-02  7.204542E-02  7.204379E-02
  1.675000E-01  7.229708E-02  7.229924E-02  7.230061E-02  7.229898E-02
  1.680000E-01  7.255383E-02  7.255601E-02  7.255739E-02  7.255574E-02
  1.685000E-01  7.281218E-02  7.281437E-02  7.281576E-02  7.281410E-02
  1.690000E-01  7.307215E-02  7.307434E-02  7.307573E-02  7.307407E-02
  1.695000E-01  7.333373E-02  7.333594E-02  7.333734E-02  7.333567E-02
